resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,6.0202,0,0,0,1,1,stim/VC_11.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.8853,0,1,1,0,1,stim/VC_01.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,space,8.1948,right,0.7836,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,right,0.7014,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,left,0.9353,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,right,1.1753,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,right,0.6846,0,4,4,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,left,0.8451,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,left,0.6883,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,right,0.5859,0,7,7,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ef34cc943115906d6aa397f,2020-12-17_21h53.19.417,2_afc_fren,2020.2.3,Win32,60,,,right,0.5772,0,8,8,6,1,,,,,,,,,,,,,,,,,,,,,,,
