resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,8.520565,0,0,0,1,1,stim/VC_11.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,10.54279,0,1,1,0,1,stim/VC_01.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,space,41.717955,right,1.874105,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.84079,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.072855,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.179555,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,4.375625,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,2.48056,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,1.042025,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,103.500915,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.85455,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,1.00049,0,9,9,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.677715,0,10,10,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.70917,1,0,11,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.6094,1,1,12,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.882475,1,2,13,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.83259,1,3,14,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.93228,1,4,15,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.96243,1,5,16,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.99479,1,6,17,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.63987,1,7,18,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,right,0.94368,1,8,19,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,1.05851,1,9,20,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fe92ffe2c2ee638b14a6d29,2021-01-03_17h49.39.406,Hungarian_step4,2020.2.3,MacIntel,60,,,left,0.83851,1,10,21,0,1,,,,,,,,,,,,,,,,,,,,,,,
