resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.11123,0,0,0,0,1,stim/VC_01.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.571875,0,1,1,1,1,stim/VC_11.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,space,1.78425,left,1.095335,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.67288,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.5962,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.533475,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.73373,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.571535,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.78501,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5c8be0dd542fbd0016924f5f,2020-12-31_12h02.00.784,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.48858,0,7,7,2,1,,,,,,,,,,,,,,,,,,,,,,,
