resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,0.91833,0,0,0,1,1,stim/VC_11.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.566155,0,1,1,0,1,stim/VC_01.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,space,0.767515,left,0.789845,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.45518,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.650585,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.52613,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.643125,0,4,4,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.51743,0,5,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.44415,0,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.4534,0,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,left,0.70131,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.638155,0,9,9,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.48292,0,10,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.437885,1,0,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.416945,1,1,12,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.43381,1,2,13,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,left,0.555525,1,3,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.65053,1,4,15,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,left,0.676215,1,5,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d3894798bb75200164c557e,2020-12-29_11h00.54.302,English_step1,2020.2.3,Win32,60,,,right,0.61734,1,6,17,5,1,,,,,,,,,,,,,,,,,,,,,,,,
