resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,5.78245,0,0,0,0,1,stim/VC_01.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.496015,0,1,1,1,1,stim/VC_11.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,space,1.201995,right,0.75279,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.488965,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.509985,0,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.50333,0,3,3,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,left,1.122945,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.57789,0,5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.5555,0,6,6,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.49385,0,7,7,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.62082,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.559655,0,9,9,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.96947,0,10,10,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.578705,1,0,11,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.499805,1,1,12,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.500125,1,2,13,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.5379,1,3,14,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.652485,1,4,15,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.52742,1,5,16,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.50605,1,6,17,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.4631,1,7,18,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ee579ecd4169f2bee94041e,2021-01-20_22h31.40.958,Spanish_step2,2020.2.3,Win32,60,,,right,0.438205,1,8,19,8,1,,,,,,,,,,,,,,,,,,,,,,,
