resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,3.026005,0,0,0,0,1,stim/VC_01.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.900535,0,1,1,1,1,stim/VC_11.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,space,2.21701,right,1.50279,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.64694,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.73363,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.650635,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.633875,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.71622,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.80036,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.618205,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.785975,0,8,8,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.671975,0,9,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.73305,0,10,10,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.70495,1,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.61963,1,1,12,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,left,0.718165,1,2,13,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.66779,1,3,14,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f2bffa8d4f0d601244ab240,2020-12-17_17h44.43.798,Spanish_step2,2020.2.3,MacIntel,60,,,right,0.75038,1,4,15,10,1,,,,,,,,,,,,,,,,,,,,,,,
