resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.639,0,0,0,0,1,stim/VC_01.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.994,0,1,1,1,1,stim/VC_11.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,space,4.356,right,1.914,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.946,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.929,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.99,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.358,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.999,0,5,5,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,2.084,0,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.535,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.84,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.063,0,9,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.744,0,10,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.749,1,0,11,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.278,1,1,12,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.164,1,2,13,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.598,1,3,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.827,1,4,15,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.613,1,5,16,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,2.905,1,6,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,0.843,1,7,18,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.125,1,8,19,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.349,1,9,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.059,1,10,21,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.926,2,0,22,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,0.812,2,1,23,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.828,2,2,24,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.765,2,3,25,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.978,2,4,26,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,2.35,2,5,27,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,0.877,2,6,28,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,0.693,2,7,29,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,0.743,2,8,30,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.178,2,9,31,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.852,2,10,32,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.747,,,,,,4,0,17.311,0,0,0,8,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,0.943,,,,,,,,,0,1,1,2,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.396,,,,,,,,,0,2,2,9,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.014,,,,,,,,,0,3,3,6,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,2.082,,,,,,,,,0,4,4,1,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,right,1.164,,,,,,,,,0,5,5,7,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.229,,,,,,,,,0,6,6,5,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.279,,,,,,,,,0,7,7,0,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f67c61d4084d6407fb4a346,2021-01-19_22h14.05.496,English_step1,2020.2.3,Win32,60,,,left,1.445,,,,,,,,,0,8,8,4,1,,,,,,,,,,,,,,,,
