resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,4.87116,0,0,0,0,1,stim/VC_01.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,4.37315,0,1,1,1,1,stim/VC_11.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,space,7.06987,left,2.10542,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,left,0.996895,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.650975,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.843725,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.67552,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,left,1.05173,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,left,0.94266,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,left,0.667115,0,7,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.526735,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.51745,0,9,9,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.50792,0,10,10,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.650425,1,0,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,kim pilot,2020-11-08_19h58.24.318,English_step1,2020.2.3,MacIntel,60,,,right,0.823785,1,1,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,
