resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,6.712885,0,0,0,1,1,stim/VC_11.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,1.74994,0,1,1,0,1,stim/VC_01.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,space,3.345975,left,12.23659,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,right,2.24565,0,1,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,right,1.22825,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,left,0.99426,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,right,1.000105,0,4,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,right,0.83356,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,left,0.71977,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d97bf1cfaa2860015b165a6,2021-01-19_22h03.29.043,English_step1,2020.2.3,Win32,60,,,left,0.716305,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,
