resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,0.886,0,0,0,0,1,stim/VC_01.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.104,0,1,1,1,1,stim/VC_11.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,space,1.525,right,0.743,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.751,0,1,1,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.567,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.768,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.419,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.585,0,5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.501,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.585,0,7,7,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.919,0,8,8,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,1.468,0,9,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,1.018,0,10,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.687,1,0,11,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.534,1,1,12,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.453,1,2,13,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.438,1,3,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.577,1,4,15,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.802,1,5,16,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.736,1,6,17,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.768,1,7,18,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,1.457,1,8,19,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.62,1,9,20,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.542,1,10,21,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.487,2,0,22,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.668,2,1,23,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.506,2,2,24,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.668,2,3,25,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.619,2,4,26,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.835,2,5,27,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.569,2,6,28,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,left,0.717,2,7,29,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.537,2,8,30,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.905,2,9,31,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5eb471789686d82c24661cb3,2021-01-19_23h09.13.492,English_step1,2020.2.3,Win32,60,,,right,0.603,2,10,32,9,1,,,,,,,,,,,,,,,,,,,,,,,,
