resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,13.113645,0,0,0,1,1,stim/VC_11.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,10.561005,0,1,1,0,1,stim/VC_01.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,space,3.47228,right,8.37362,0,0,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,left,1.63189,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,right,2.2849,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,right,0.713665,0,3,3,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,left,0.88806,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,left,0.88145,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,left,0.641715,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,left,0.615845,0,7,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,right,0.71494,0,8,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,Miyamín Guzmán,2021-02-24_11h48.08.661,English_step1,2020.2.3,Win32,60,,,right,0.67092,0,9,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,
