resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,2.07508,0,0,0,1,1,stim/VC_11.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.71978,0,1,1,0,1,stim/VC_01.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,space,1.1568,left,0.96666,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,1.02549,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,0.71309,0,2,2,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,0.621765,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,left,0.60092,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,0.538265,0,5,5,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,0.503315,0,6,6,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,,2021-01-19_20h02.21.358,English_step1,2020.2.3,Win32,60,,,right,0.50061,0,7,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,
