resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,3.936425,0,0,0,1,1,stim/VC_11.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.910465,0,1,1,0,1,stim/VC_01.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,space,1.57401,right,0.81173,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.689365,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,0.67487,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.401005,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.46701,0,4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,0.62225,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,1.0498,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.521425,0,7,7,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.448805,0,8,8,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,0.559775,0,9,9,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.3929,0,10,10,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.539065,1,0,11,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,0.5392,1,1,12,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.351325,1,2,13,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,right,0.37384,1,3,14,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5b67bffa9ed653000189ff3c,2020-12-22_23h05.44.607,2_afc_fren,2020.2.3,Win32,60,,,left,0.58731,1,4,15,2,1,,,,,,,,,,,,,,,,,,,,,,,
