resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,1.575835,0,0,0,1,1,stim/VC_11.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.70177,0,1,1,0,1,stim/VC_01.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,space,1.648875,left,0.63387,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.516955,0,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.533665,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,left,0.42142,0,3,3,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,left,0.47566,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.54956,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.46752,0,6,6,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.51639,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.47638,0,8,8,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.51619,0,9,9,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,left,0.349955,0,10,10,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,left,0.525435,1,0,11,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e3f7b673ba9991dc9cabcfa,2021-01-21_08h05.27.167,Hungarian_step4,2020.2.3,Win32,60,,,right,0.566945,1,1,12,9,1,,,,,,,,,,,,,,,,,,,,,,,
