lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,button_real,button_false
0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,1,0,1.42948,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,0,4.333785,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,3.338515,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,1.10643,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,0.92087,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,1,1,0.978395,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,0.83652,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,0.848595,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,1,1,0.64876,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,1,1,0.98418,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,1,0,0.84271,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,0,1,0.84963,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,2,pellizcar,1,,,0,0,1.418925,0,0,0,1,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,21,capillo,0,,,1,0,1.19329,0,1,1,20,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,24,látigo,1,,,1,1,0.82643,0,2,2,23,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,68,alegre,1,,,1,1,0.624215,0,3,3,67,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,39,torpe,1,,,0,0,0.74609,0,4,4,38,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,46,martillo,1,,,0,0,0.70821,0,5,5,45,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,47,cartinar,0,,,0,1,1.067905,0,6,6,46,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,35,rompido,0,,,0,1,3.04332,0,7,7,34,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,74,cintro,0,,,1,0,0.73655,0,8,8,73,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,80,hormiga,1,,,1,1,0.774165,0,9,9,79,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,17,floroso,0,,,0,1,2.008315,0,10,10,16,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,7,pésimo,1,,,1,1,1.073635,0,11,11,6,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,54,fomentar,1,,,0,0,1.5626,0,12,12,53,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,57,tacaño,1,,,1,1,0.938535,0,13,13,56,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,30,alardio,0,,,0,1,2.203705,0,14,14,29,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,45,jilguero,1,,,0,0,0.96067,0,15,15,44,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,60,matar,1,,,1,1,0.77033,0,16,16,59,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,85,laúd,1,,,0,0,0.64418,0,17,17,84,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,40,alfombra,1,,,1,1,1.5446,0,18,18,39,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,61,seda,1,,,1,1,1.65216,0,19,19,60,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,10,antar,0,,,0,1,3.365135,0,20,20,9,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,63,esposante,0,,,0,1,1.49488,0,21,21,62,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,49,ganar,1,,,1,1,0.63283,0,22,22,48,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,29,decar,0,,,0,1,0.893765,0,23,23,28,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,76,atar,1,,,0,0,0.708535,0,24,24,75,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,79,tropaje,0,,,0,1,0.94401,0,25,25,78,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,67,cabello,1,,,1,1,0.651315,0,26,26,66,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,13,helar,1,,,0,0,2.39291,0,27,27,12,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,72,pemición,0,,,0,1,0.96439,0,28,28,71,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,15,regar,1,,,1,1,0.77514,0,29,29,14,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,65,bizcocho,1,,,1,1,1.03809,0,30,30,64,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,75,yacer,1,,,0,0,0.986785,0,31,31,74,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,89,prisa,1,,,1,1,1.05431,0,32,32,88,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,33,pauca,0,,,0,1,0.780585,0,33,33,32,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,6,tergiversar,1,,,0,0,0.965135,0,34,34,5,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,5,zapato,1,,,1,1,0.638445,0,35,35,4,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,64,orgulloso,1,,,1,1,0.6627,0,36,36,63,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,58,plaudir,0,,,0,1,0.713065,0,37,37,57,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,41,rebuscar,1,,,0,0,1.436805,0,38,38,40,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,31,pandilla,1,,,0,0,4.583415,0,39,39,30,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,55,nevar,1,,,0,0,1.214115,0,40,40,54,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,83,guante,1,,,1,1,1.159595,0,41,41,82,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,23,lampera,0,,,0,1,2.17383,0,42,42,22,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,84,escuto,0,,,0,1,1.844245,0,43,43,83,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,14,yunque,1,,,0,0,0.913405,0,44,44,13,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,73,hervidor,1,,,1,1,2.99474,0,45,45,72,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,43,canela,1,,,1,1,0.68162,0,46,46,42,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,87,grodo,0,,,0,1,0.755975,0,47,47,86,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,26,secuestro,1,,,1,1,1.129825,0,48,48,25,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,36,loro,1,,,0,0,1.76548,0,49,49,35,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,1,terzo,0,,,0,1,1.378025,0,50,50,0,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,86,barato,1,,,1,1,0.66862,0,51,51,85,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,59,besar,1,,,1,1,0.70377,0,52,52,58,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,34,aviso,1,,,1,1,0.70657,0,53,53,33,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,37,granuja,1,,,0,0,1.08924,0,54,54,36,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,22,lacayo,1,,,0,0,0.60996,0,55,55,21,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,52,camisa,1,,,1,1,0.667195,0,56,56,51,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,44,cuchara,1,,,1,1,0.99266,0,57,57,43,1,REAL,FALSA
,,,,,,,5a5c0728ac5624000153f533,001,2020-12-13_22h11.52.461,lextale_sp,2020.2.3,Win32,60,,,,,,,,,27,acutación,0,,,0,1,0.90704,0,58,58,26,1,REAL,FALSA
