lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,button_real,button_false
0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,0,1,23.333935,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,1,2.18937,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,0,1,11.91651,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,0,2.66968,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,0,1,9.620365,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,1,1.936475,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,0,1,1.87422,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,0,16.63829,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,1,0.91794,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,1,0.756475,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,1,0,2.82289,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,0,1,11.787685,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,60,matar,1,,,1,1,2.3017,0,0,0,59,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,78,frondoso,1,,,1,1,14.519155,0,1,1,77,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,28,merodear,1,,,1,1,14.351545,0,2,2,27,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,31,pandilla,1,,,1,1,11.451535,0,3,3,30,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,56,musgo,1,,,1,1,7.589065,0,4,4,55,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,85,laúd,1,,,1,1,8.356335,0,5,5,84,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,83,guante,1,,,1,1,1.685755,0,6,6,82,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,74,cintro,0,,,0,1,8.3263,0,7,7,73,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,27,acutación,0,,,1,0,2.541745,0,8,8,26,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,61,seda,1,,,1,1,8.569085,0,9,9,60,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,89,prisa,1,,,1,1,1.003485,0,10,10,88,1,REAL,FALSA
,,,,,,,5d44a1177e8a8b001920cfe4,001,2021-01-12_15h20.06.474,lextale_sp,2020.2.3,Win32,60,,,,,,,,,38,estornudar,1,,,1,1,14.79187,0,11,11,37,1,REAL,FALSA
