lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,button_real,button_false
0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,4.378395,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,1,0.936065,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,4.82912,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,4.149375,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,0,3.4133,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,1,1.583135,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,1.006245,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,2.692425,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,1,0.73483,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,1,0.780745,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,1,0,1.10589,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,0,1,1.282765,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,14,yunque,1,,,1,1,2.01464,0,0,0,13,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,70,temblo,0,,,0,1,3.596195,0,1,1,69,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,28,merodear,1,,,0,0,1.000545,0,2,2,27,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,20,ávido,1,,,0,0,1.645675,0,3,3,19,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,49,ganar,1,,,1,1,0.89861,0,4,4,48,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,30,alardio,0,,,0,1,1.032615,0,5,5,29,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,48,ladrón,1,,,1,1,1.25178,0,6,6,47,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,33,pauca,0,,,0,1,1.01754,0,7,7,32,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,43,canela,1,,,1,1,1.266905,0,8,8,42,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,53,vegada,0,,,0,1,1.11656,0,9,9,52,1,REAL,FALSA
,,,,,,,,001,2020-12-14_06h58.34.353,lextale_sp,2020.2.3,Linux x86_64,60,,,,,,,,,8,cadeña,0,,,0,1,5.041945,0,10,10,7,1,REAL,FALSA
