resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,1.06912,0,0,0,1,1,stim/VC_11.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.55764,0,1,1,0,1,stim/VC_01.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,space,0.89565,right,0.89,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.588245,0,1,1,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.44534,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.32426,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.307145,0,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.33617,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,right,0.578065,0,6,6,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5cf5fe247ce340001ac0bdd8,2021-02-24_15h55.42.454,Spanish_step2,2020.2.3,Linux x86_64,60,,,left,0.52104,0,7,7,2,1,,,,,,,,,,,,,,,,,,,,,,,
