resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,3.58837,0,0,0,0,1,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.371075,0,1,1,1,1,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,space,3.263395,left,1.59355,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.81774,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.68967,0,2,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.61917,0,3,3,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.559535,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.558535,0,5,5,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.701395,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.500495,0,7,7,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.63581,0,8,8,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.515125,0,9,9,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.398215,0,10,10,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.410855,1,0,11,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.568145,1,1,12,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.61638,1,2,13,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.724065,1,3,14,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.4946,1,4,15,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.57404,1,5,16,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.45153,1,6,17,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.51536,1,7,18,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.60856,1,8,19,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.66834,1,9,20,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.518325,1,10,21,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.41862,2,0,22,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.596025,2,1,23,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.55456,2,2,24,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.572695,2,3,25,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,1.05781,2,4,26,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.656855,2,5,27,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.651195,2,6,28,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.73746,2,7,29,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.502425,2,8,30,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.602125,2,9,31,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.482065,2,10,32,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.83465,,,,,,7,2.667845,0,0,0,2,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.78807,,,,,,,,0,1,1,0,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.615695,,,,,,,,0,2,2,6,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.798295,,,,,,,,0,3,3,3,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.68963,,,,,,,,0,4,4,7,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.888195,,,,,,,,0,5,5,5,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.69516,,,,,,,,0,6,6,9,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.854235,,,,,,,,0,7,7,8,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.815365,,,,,,,,0,8,8,1,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.834435,,,,,,,,0,9,9,10,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.901775,,,,,,,,0,10,10,4,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.74253,,,,,,,,1,0,11,0,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.732815,,,,,,,,1,1,12,9,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,1.18492,,,,,,,,1,2,13,4,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,1.271615,,,,,,,,1,3,14,10,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,left,0.632135,,,,,,,,1,4,15,1,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.60769,,,,,,,,1,5,16,5,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.712325,,,,,,,,1,6,17,3,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.676285,,,,,,,,1,7,18,8,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5dab79a5525a7600139cd31e,2020-12-17_17h54.43.719,Spanish_step2,2020.2.3,Win32,60,,,right,0.56846,,,,,,,,1,8,19,7,1,,,,,,,,,,,,,,,,
