resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,2.784225,0,0,0,1,1,stim/VC_11.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.700075,0,1,1,0,1,stim/VC_01.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,space,1.22286,left,0.784995,0,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.5563,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.52933,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.722705,0,3,3,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.705065,0,4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.67204,0,5,5,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.559775,0,6,6,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,1.422985,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.53607,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.575405,0,9,9,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,2.35744,0,10,10,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.66879,1,0,11,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.484675,1,1,12,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,1.260635,1,2,13,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.68005,1,3,14,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.557735,1,4,15,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.60161,1,5,16,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,left,0.48891,1,6,17,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.63459,1,7,18,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f6265b707ccb62ae21f22a2,2021-02-24_16h07.42.440,Spanish_step2,2020.2.3,Win32,60,,,right,0.5285,1,8,19,8,1,,,,,,,,,,,,,,,,,,,,,,,
