stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,instrText.started,instrText.stopped,cross_tr.started,cross_tr.stopped,sound_1.started,sound_1.stopped,resp.keys,resp.rt,resp.started,resp.stopped,eefree_p.started,eefree_p.stopped,offree_practice.started,offree_practice.stopped,gotIT.started,gotIT.stopped,gotResponse.keys,gotResponse.rt,gotResponse.started,gotResponse.stopped,cross_tr_2.started,cross_tr_2.stopped,sound_2.started,sound_2.stopped,resp_2.keys,resp_2.rt,resp_2.started,resp_2.stopped,eefree_p_2.started,eefree_p_2.stopped,offree_practice_2.started,offree_practice_2.stopped,instrText_2.started,instrText_2.stopped,cross_tr_3.started,cross_tr_3.stopped,sound_3.started,sound_3.stopped,resp_3.keys,resp_3.rt,resp_3.started,resp_3.stopped,pafri.started,pafri.stopped,bafri.started,bafri.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
stim/VC_01.wav,0,0,0,0,,,,,,,,,35.755540600046515,None,36.906018800102174,37.313340299995616,37.39648850003723,None,left,0.9681400000117719,37.396310600219294,None,37.396310600219294,None,37.396310600219294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_11.wav,0,1,1,1,,,,,,,,,,,38.38498060009442,38.79634550004266,38.879943800135514,None,right,2.510069200070575,38.87987640011124,None,38.87987640011124,None,38.87987640011124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
,,,,,,,,,,,,,,,,,,,,,,,,,,,42.24668370001018,None,space,0.2523630999494344,42.4963435002137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_04.wav,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,42.794964800123125,43.19590070005506,43.279427800071424,None,left,0.8441136998590082,43.2795987999998,None,43.2795987999998,None,43.2795987999998,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_06.wav,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,44.15101850009523,44.56318729999475,44.646116200112736,None,left,0.8944244000595063,44.64641010016203,None,44.64641010016203,None,44.64641010016203,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_09.wav,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,45.565151300048456,45.979358800221235,46.062761800107545,None,right,1.1261715998407453,46.06253270013258,None,46.06253270013258,None,46.06253270013258,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_11.wav,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,47.21675660018809,47.62930340017192,47.712766500166616,None,right,0.7702709999866784,47.71296700020321,None,47.71296700020321,None,47.71296700020321,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_10.wav,,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,48.514873900217935,48.92901480011642,49.01242630018387,None,right,1.9105599999893457,49.01254740008153,None,49.01254740008153,None,49.01254740008153,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_03.wav,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,50.95070690009743,51.36258750013076,51.44575100017246,None,left,0.8030536998994648,51.445986800128594,None,51.445986800128594,None,51.445986800128594,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
stim/VC_01.wav,,,,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,52.28249530005269,52.6957614000421,52.779045800189486,None,left,0.7544285000767559,52.77905140002258,None,52.77905140002258,None,52.77905140002258,None,,,,,,,,,,,,,,,,,01,see01p,2020_Oct_09_1352,2_afc_eng,2020.2.3,59.95894016808994,
