participant,date,expName,resp_2.keys,exp,language,step_cont,response,resp_3.keys,l1,l2,prolific,group
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,20,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-35,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-10,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,15,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,25,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,30,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-20,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-30,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,35,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-5,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-15,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,5,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,45,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,50,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,40,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-25,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,10,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,25,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,35,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,20,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-5,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,50,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-15,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-30,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-20,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,40,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,45,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-25,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-10,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,10,1,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,-35,0,NA,Spanish,English,gqwk4,SE
563bb259be9cac0005aab7ab,2021-02-24_18h25.43.905,English_step1,NA,stops,english,5,1,NA,Spanish,English,gqwk4,SE
