"","participant","exp","language","step_cont","response","l1","l2","step_std"
"1","563bb259be9cac0005aab7ab","vowels","english",1,0,"Spanish","English",-0.296326737629746
"2","563bb259be9cac0005aab7ab","vowels","english",4,0,"Spanish","English",-0.152384339888053
"3","563bb259be9cac0005aab7ab","vowels","english",8,1,"Spanish","English",0.0395388571008718
"4","563bb259be9cac0005aab7ab","vowels","english",7,1,"Spanish","English",-0.0084419421463593
"5","563bb259be9cac0005aab7ab","vowels","english",2,0,"Spanish","English",-0.248345938382515
"6","563bb259be9cac0005aab7ab","vowels","english",6,1,"Spanish","English",-0.0564227413935904
"7","563bb259be9cac0005aab7ab","vowels","english",9,1,"Spanish","English",0.087519656348103
"8","563bb259be9cac0005aab7ab","vowels","english",10,1,"Spanish","English",0.135500455595334
"9","563bb259be9cac0005aab7ab","vowels","english",3,0,"Spanish","English",-0.200365139135284
"10","563bb259be9cac0005aab7ab","vowels","english",11,1,"Spanish","English",0.183481254842565
"11","563bb259be9cac0005aab7ab","vowels","english",5,0,"Spanish","English",-0.104403540640822
"12","563bb259be9cac0005aab7ab","vowels","english",8,1,"Spanish","English",0.0395388571008718
"13","563bb259be9cac0005aab7ab","vowels","english",7,1,"Spanish","English",-0.0084419421463593
"14","563bb259be9cac0005aab7ab","vowels","english",2,0,"Spanish","English",-0.248345938382515
"15","563bb259be9cac0005aab7ab","vowels","english",5,0,"Spanish","English",-0.104403540640822
"16","563bb259be9cac0005aab7ab","vowels","english",11,1,"Spanish","English",0.183481254842565
"17","563bb259be9cac0005aab7ab","vowels","english",3,0,"Spanish","English",-0.200365139135284
"18","563bb259be9cac0005aab7ab","vowels","english",10,1,"Spanish","English",0.135500455595334
"19","563bb259be9cac0005aab7ab","vowels","english",4,0,"Spanish","English",-0.152384339888053
"20","563bb259be9cac0005aab7ab","vowels","english",1,0,"Spanish","English",-0.296326737629746
"21","563bb259be9cac0005aab7ab","vowels","english",6,1,"Spanish","English",-0.0564227413935904
"22","563bb259be9cac0005aab7ab","vowels","english",9,1,"Spanish","English",0.087519656348103
"23","563bb259be9cac0005aab7ab","vowels","english",3,0,"Spanish","English",-0.200365139135284
"24","563bb259be9cac0005aab7ab","vowels","english",11,1,"Spanish","English",0.183481254842565
"25","563bb259be9cac0005aab7ab","vowels","english",1,0,"Spanish","English",-0.296326737629746
"26","563bb259be9cac0005aab7ab","vowels","english",10,1,"Spanish","English",0.135500455595334
"27","563bb259be9cac0005aab7ab","vowels","english",6,1,"Spanish","English",-0.0564227413935904
