resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,7.368,0,0,0,0,1,stim/VC_01.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,3.691,0,1,1,1,1,stim/VC_11.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,space,8.531,left,1.412,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.778,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.779,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.623,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.825,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.62,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.494,0,6,6,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.481,0,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.391,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.419,0,9,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.542,0,10,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.528,1,0,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.463,1,1,12,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.514,1,2,13,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,3.272,1,3,14,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.618,1,4,15,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.758,1,5,16,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.45,1,6,17,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.65,1,7,18,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.535,1,8,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,right,0.541,1,9,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d159d0a8078020016aa60b9,2021-01-20_13h13.05.364,English_step1,2020.2.3,Win32,60,,,left,0.912,1,10,21,3,1,,,,,,,,,,,,,,,,,,,,,,,,
