resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.96621,0,0,0,0,1,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.283755,0,1,1,1,1,stim/VC_11.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,space,2.59798,right,1.55627,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,right,7.23815,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,left,0.882575,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,right,0.99493,0,3,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,left,0.90057,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,right,0.76824,0,5,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,left,1.954945,0,6,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5dab79a5525a7600139cd31e,2020-12-16_22h03.07.009,English_step1,2020.2.3,Win32,60,,,right,0.84231,0,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,,
