resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.476725,0,0,0,0,1,stim/VC_01.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.666895,0,1,1,1,1,stim/VC_11.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,space,0.70032,right,0.451495,0,0,0,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.400035,0,1,1,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.33888,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.41549,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.33963,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.418555,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.351505,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.337635,0,7,7,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.307765,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.500275,0,9,9,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.437015,0,10,10,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.32331,1,0,11,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.356605,1,1,12,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.333515,1,2,13,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.42466,1,3,14,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.53309,1,4,15,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.34868,1,5,16,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.44755,1,6,17,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.405795,1,7,18,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.34166,1,8,19,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.336325,1,9,20,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.373235,1,10,21,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.413245,2,0,22,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.54893,2,1,23,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.40096,2,2,24,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.390055,2,3,25,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.45004,2,4,26,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.40028,2,5,27,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.37538,2,6,28,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.385765,2,7,29,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.377125,2,8,30,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.303575,2,9,31,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,right,0.3496,2,10,32,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.4688,,,,,,3,1.368625,0,0,0,2,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5e88a67c651ae60009602e69,2021-01-21_11h13.54.507,Hungarian_step4,2020.2.3,Win32,60,,,left,0.469615,,,,,,,,0,1,1,3,1,,,,,,,,,,,,,,,,
