resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,2.27237,0,0,0,1,1,stim/VC_11.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,1.172435,0,1,1,0,1,stim/VC_01.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,space,2.974725,right,0.99127,0,0,0,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.55158,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.71657,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.68939,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.74434,0,4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.672405,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.73054,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.68737,0,7,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,1.00168,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,1.347265,0,9,9,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.64049,0,10,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.56851,1,0,11,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.80063,1,1,12,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.62093,1,2,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.430905,1,3,14,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.458715,1,4,15,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.782335,1,5,16,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.669805,1,6,17,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.538265,1,7,18,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.41602,1,8,19,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.46205,1,9,20,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.59279,1,10,21,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.59378,2,0,22,9,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.671255,2,1,23,7,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.48429,2,2,24,5,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.443045,2,3,25,6,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.658665,2,4,26,0,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.702945,2,5,27,10,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.44674,2,6,28,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,2.00111,2,7,29,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.656795,2,8,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.567185,2,9,31,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.636055,2,10,32,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,1.26196,,,,,,4,0,4.267815,0,0,0,9,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.66521,,,,,,,,,0,1,1,8,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.49358,,,,,,,,,0,2,2,5,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.479545,,,,,,,,,0,3,3,10,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,1.159215,,,,,,,,,0,4,4,0,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,right,0.9719,,,,,,,,,0,5,5,7,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f3344917a7a0b159bd0c375,2021-01-20_14h56.36.371,English_step1,2020.2.3,Win32,60,,,left,0.944075,,,,,,,,,0,6,6,2,1,,,,,,,,,,,,,,,,
