resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.96335,0,0,0,0,1,stim/VC_01.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.463275,0,1,1,1,1,stim/VC_11.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,space,1.76674,right,0.699905,0,0,0,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,right,0.47848,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,right,0.92848,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,right,0.580985,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,right,0.42962,0,4,4,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,left,0.4809,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,left,0.450165,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fbb445fed317dc4907cfad4,2020-12-17_15h26.43.718,2_afc_fren,2020.2.3,MacIntel,60,,,left,0.732285,0,7,7,0,1,,,,,,,,,,,,,,,,,,,,,,,
