resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,4.417,0,0,0,1,1,stim/VC_11.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.722,0,1,1,0,1,stim/VC_01.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,space,2.978,right,1.019,0,0,0,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.795,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.7,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.767,0,3,3,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.634,0,4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.633,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.668,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.634,0,7,7,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.667,0,8,8,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.734,0,9,9,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.687,0,10,10,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.643,1,0,11,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.612,1,1,12,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.616,1,2,13,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.624,1,3,14,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.59,1,4,15,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,right,0.65,1,5,16,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.633,1,6,17,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5fd34418e94b23000a800dcc,2021-01-20_20h19.42.674,2_afc_fren,2020.2.3,Win32,60,,,left,0.6,1,7,18,0,1,,,,,,,,,,,,,,,,,,,,,,,
