resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.433415,0,0,0,0,1,stim/VC_01.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.75495,0,1,1,1,1,stim/VC_11.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,space,2.406815,left,0.80716,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,left,0.52698,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.49165,0,2,2,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.840865,0,3,3,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,left,0.38771,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.542805,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.481075,0,6,6,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.514815,0,7,7,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.50485,0,8,8,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.445125,0,9,9,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.47185,0,10,10,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.47646,1,0,11,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.4466,1,1,12,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,left,0.374,1,2,13,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,left,0.422385,1,3,14,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,left,0.4217,1,4,15,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.49204,1,5,16,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.488815,1,6,17,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.49244,1,7,18,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.42527,1,8,19,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.58977,1,9,20,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5a08c9a7f2e3460001edb063,2021-01-07_11h02.22.059,Hungarian_step4,2020.2.3,Win32,60,,,right,0.38906,1,10,21,10,1,,,,,,,,,,,,,,,,,,,,,,,
