resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,1.28223,0,0,0,1,1,stim/VC_11.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.71756,0,1,1,0,1,stim/VC_01.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,space,1.599965,right,1.079135,0,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.714715,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.94169,0,2,2,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.11074,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,1.30098,0,4,4,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,1.842395,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.73114,0,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.52321,0,7,7,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.59292,0,8,8,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.61519,0,9,9,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.96833,0,10,10,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.81238,1,0,11,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.5424,1,1,12,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.99453,1,2,13,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.502815,1,3,14,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.58943,1,4,15,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.63398,1,5,16,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.66156,1,6,17,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.044895,1,7,18,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.86092,1,8,19,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.533115,1,9,20,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.97599,1,10,21,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.85439,2,0,22,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.739685,2,1,23,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.11212,2,2,24,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.92824,2,3,25,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.131875,2,4,26,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.562285,2,5,27,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,1.309965,2,6,28,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.91283,2,7,29,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.680915,2,8,30,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.042365,2,9,31,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.25782,2,10,32,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.891275,,,,,,7,4.615155,0,0,0,2,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,1.860695,,,,,,,,0,1,1,5,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.661045,,,,,,,,0,2,2,10,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.781065,,,,,,,,0,3,3,8,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.512035,,,,,,,,0,4,4,0,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,1.24248,,,,,,,,0,5,5,6,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,1.303015,,,,,,,,0,6,6,4,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.613485,,,,,,,,0,7,7,1,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.66347,,,,,,,,0,8,8,3,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.461185,,,,,,,,0,9,9,9,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,right,0.86972,,,,,,,,0,10,10,7,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.76306,,,,,,,,1,0,11,1,1,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5d4cc624ae079c0019f544b6,2021-01-20_15h38.02.544,Spanish_step2,2020.2.3,Win32,60,,,left,0.64177,,,,,,,,1,1,12,3,1,,,,,,,,,,,,,,,,
