resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,4.4513,0,0,0,0,1,stim/VC_01.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.067395,0,1,1,1,1,stim/VC_11.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,space,5.787355,right,1.185805,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,left,0.546325,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,left,0.56782,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,right,0.586395,0,3,3,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,right,0.685775,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,left,1.467785,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,right,0.810695,0,6,6,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5df216021d6b46119b5b5db9,2021-02-04_06h14.06.555,Spanish_step2,2020.2.3,Win32,60,,,right,0.805985,0,7,7,10,1,,,,,,,,,,,,,,,,,,,,,,,
