resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
right,0.953495,0,0,0,1,1,stim/VC_11.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.44349,0,1,1,0,1,stim/VC_01.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,space,1.1633,right,0.660515,0,0,0,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.410015,0,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.52456,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.44331,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.444675,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.44461,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.361045,0,6,6,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.517145,0,7,7,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.42707,0,8,8,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.477085,0,9,9,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.429045,0,10,10,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.442785,1,0,11,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.493315,1,1,12,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.42855,1,2,13,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.448285,1,3,14,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.42463,1,4,15,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.411375,1,5,16,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.56403,1,6,17,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.56059,1,7,18,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.678865,1,8,19,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.63999,1,9,20,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.49063,1,10,21,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,right,0.724295,2,0,22,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5ec5a55832a7515e8324a8a8,2021-02-24_15h52.08.677,Spanish_step2,2020.2.3,Win32,60,,,left,0.433425,2,1,23,1,1,,,,,,,,,,,,,,,,,,,,,,,
