resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,1.79506,0,0,0,0,1,stim/VC_01.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.73118,0,1,1,1,1,stim/VC_11.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,space,0.87768,right,0.893345,0,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_04.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.852075,0,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.64554,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.45512,0,3,3,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.38384,0,4,4,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_01.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,left,0.468055,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.497645,0,6,6,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.51307,0,7,7,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.479385,0,8,8,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,left,0.438985,0,9,9,1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,left,0.92104,0,10,10,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,left,0.493995,1,0,11,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.445945,1,1,12,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_10.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.450635,1,2,13,9,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.46738,1,3,14,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f4bf4536b68b57e64ad4f2d,2021-02-24_17h54.57.025,Spanish_step2,2020.2.3,Win32,60,,,right,0.418315,1,4,15,6,1,,,,,,,,,,,,,,,,,,,,,,,
