resp.keys,resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,participant,date,expName,psychopyVersion,OS,frameRate,gotResponse.keys,gotResponse.rt,resp_2.keys,resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,key_resp_3.keys,key_resp_3.rt,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,resp_3.keys,resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_2.keys,key_resp_2.rt,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,key_resp.keys,key_resp.rt
left,2.666,0,0,0,0,1,stim/VC_01.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,1.101235,0,1,1,1,1,stim/VC_11.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_08.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,space,2.056805,right,1.049575,0,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_05.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,left,0.90391,0,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_09.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,right,0.90971,0,2,2,8,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_11.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,right,0.69945,0,3,3,10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_03.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,left,0.59199,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_06.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,left,0.80839,0,5,5,5,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_07.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,left,1.12011,0,6,6,6,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,stim/VC_02.wav,5f7cada3fac3bc114cb6d6b8,2021-02-24_23h06.55.175,Spanish_step2,2020.2.3,Win32,60,,,left,0.585585,0,7,7,1,1,,,,,,,,,,,,,,,,,,,,,,,
